name,datetime_utc,latitude_deg,longitude_deg,altitude_km
GSAT0206 (GALILEO 10),2025-10-16 18:02:22.045330,-10.297275166914112,119.49719746408933,23231.996406882285
GSAT0206 (GALILEO 10),2025-10-16 18:12:22.045330,-13.753626668708309,119.5419704129909,23232.86162050261
GSAT0206 (GALILEO 10),2025-10-16 18:22:22.045330,-17.182600737610496,119.66271604411133,23233.803744212462
GSAT0206 (GALILEO 10),2025-10-16 18:32:22.045330,-20.57589412627949,119.88179056543686,23234.807104946056
GSAT0206 (GALILEO 10),2025-10-16 18:42:22.045330,-23.924159241975538,120.22372530733644,23235.853820660373
GSAT0206 (GALILEO 10),2025-10-16 18:52:22.045330,-27.21669428858829,120.71571337962025,23236.924170709648
GSAT0206 (GALILEO 10),2025-10-16 19:02:22.045330,-30.441075998205918,121.38807639321932,23237.99701149393
GSAT0206 (GALILEO 10),2025-10-16 19:12:22.045330,-33.58272572287163,122.27465117054997,23239.05022838379
GSAT0206 (GALILEO 10),2025-10-16 19:22:22.045330,-36.62440472022937,123.4129867989556,23240.061214099882
GSAT0206 (GALILEO 10),2025-10-16 19:32:22.045330,-39.5456461166859,124.84416638824318,23241.007363113447
GSAT0206 (GALILEO 10),2025-10-16 19:42:22.045330,-42.32215410309345,126.61196013869557,23241.866571246697
GSAT0206 (GALILEO 10),2025-10-16 19:52:22.045330,-44.925241971796495,128.76088265453168,23242.617729499947
GSAT0206 (GALILEO 10),2025-10-16 20:02:22.045330,-47.3214462416751,131.3326041317877,23243.241201217203
GSAT0206 (GALILEO 10),2025-10-16 20:12:22.045330,-49.4725452462636,134.36015047955073,23243.71927202749
GSAT0206 (GALILEO 10),2025-10-16 20:22:22.045330,-51.33630961463609,137.85961241076336,23244.036562554622
GSAT0206 (GALILEO 10),2025-10-16 20:32:22.045330,-52.86836375555866,141.81992458596926,23244.180394667223
GSAT0206 (GALILEO 10),2025-10-16 20:42:22.045330,-54.02543775575403,146.19280106266987,23244.141103022732
GSAT0206 (GALILEO 10),2025-10-16 20:52:22.045330,-54.76992225912279,150.88669798472046,23243.912284828933
GSAT0206 (GALILEO 10),2025-10-16 21:02:22.045330,-55.07500269451273,155.76938675862223,23243.490982072708
GSAT0206 (GALILEO 10),2025-10-16 21:12:22.045330,-54.92901266795073,160.68168260547534,23242.877791926203
